
# Efinity Pinout Report
# Version: 2024.1.163.1.8
# Date: 2024-09-25 12:37

# Copyright (C) 2013 - 2024 Efinix Inc. All rights reserved.

# Device: T20Q100F3
# Package status: final
# Project: T20Module
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
89,GPIOL_72_EXTFB0_CDI14,,Input,1D_1E,3.3 V,,weak pullup,User IO
90,GND,,Power,,,,,Ground
91,VCC,,Power,,,,,1.2 V VCC Power
92,GPIOL_70_CBSEL0,,Input,1D_1E,3.3 V,,weak pullup,User IO
93,GPIOL_69_CBSEL1,,Input,1D_1E,3.3 V,,weak pullup,User IO
94,GPIOL_67_CDI13,,Input,1D_1E,3.3 V,,weak pullup,User IO
95,GPIOL_66_CDI12,,Input,1D_1E,3.3 V,,weak pullup,User IO
96,VCCIO1D_1E,,Power,1D_1E,3.3 V,,,VCCIO Power
97,GND,,Power,,,,,Ground
98,GPIOL_53_CDI10,Switch1,Input,1D_1E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
99,GPIOL_54_CDI11,,Input,1D_1E,3.3 V,,weak pullup,User IO
100,GPIOL_46,,Input,1D_1E,3.3 V,,weak pullup,User IO
